Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
"25, 33",25-RC-246611,ONE IA Dubuque HIE Management LLC,RC,,,2019-09-06,,5.0,14.0,International Brotherhood of Electrical Workers Local 704,Stipulated,,,,Certific. of Representative,,,,,,,,,,Dubuque,IA,19.0,,WON,,2019-09-16,,,,,
"25, 33",25-RC-247191,"Axalta Coating Systems USA, LLC, a subsidiary of Axalta Coating Systems, LLC",RC,,,2019-09-19,,30.0,12.0,"District Lodge 6, International Association of Machinists & Aerospace Workers, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Fort Madison,IA,42.0,,,LOSS,2019-09-27,,,,,
"25, 33",25-RD-228534,"MPI PRODUCTS KNOX INDIANA, LLC",RD,,,2018-10-25,,66.0,89.0,"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL & SERVICE WORKERS INTERNATIONAL UNION",Stipulated,,,,Certific. of Representative,,,,,,,,,,KNOX,IN,169.0,,WON,,2018-11-02,,,,,
"25, 33",25-RD-236143,"Waste Management of Indiana, Inc.",RD,,,2019-03-15,,28.0,6.0,TEAMSTERS LOCAL UNION NO. 135,Stipulated,,,,Certification of Results,,,,,,,,,,Indianapolis,IN,38.0,,,LOSS,2019-03-25,,,,,
"25, 33",25-RD-236149,"RiverStone Group, Inc.",RD,,,2019-03-14,,3.0,1.0,"International Union of Operating Engineers, Local 649, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,St. Augustine,IL,4.0,,,LOSS,2019-03-22,,,,,
"25, 33",25-RD-238805,"Cargill, Incorporated",RD,,,2019-04-22,,4.0,0.0,"Bakery, Confectionary, Tobacco Workers and Grain Millers Union, Local 4",Stipulated,,,,Certification of Results,,,,,,,,,,Beardstown,IL,4.0,,,LOSS,2019-04-30,,,,,
"25, 33",25-RD-240462,"ADM Trucking, Inc.",RD,,,2019-05-31,,48.0,88.0,"Bakery, Confectionary, Tobacco Workers and Grain Millers International Union, AFL-CIO, CLC, Local 103G",Stipulated,,,,Certific. of Representative,,,,,,,,,,Decatur,IL,167.0,,WON,,2019-06-10,,,,,
"25, 33",25-RD-240493,"Mulzer Crushed Stone, Inc.",RD,,,2019-05-20,,8.0,10.0,"International Union of Operating Engineers, Local 181",Stipulated,,,,Certific. of Representative,,,,,,,,,,English,IN,18.0,,WON,,2019-05-28,,,,,
"25, 33",25-RD-241155,"Mulzer Crushed Stone, Inc.",RD,,,2019-05-30,,50.0,50.0,"International Union of Operating Engineers, Local 181",Stipulated,,,,Certification of Results,,,,,,,,,,Leavenworth,IN,107.0,,,LOSS,2019-07-15,,,,,
"25, 33",25-RD-247314,PTC Tubular Products LLC,RD,,,2019-09-19,,10.0,24.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, Local Union No. 5163",Stipulated,,,,Certific. of Representative,,,,,,,,,,Richmond,IN,35.0,,WON,,2019-09-27,,,,,
"25, 33",25-RM-240477,"Illinois Plumbing and Heating Supply Company, Inc.",RM,,,2019-05-16,,4.0,1.0,"International Brotherhood of Teamsters, Local 916",Stipulated,,,,Certification of Results,,,,,,,,,,Springfield,IL,5.0,,,LOSS,2019-05-24,,,,,
27,27-RC-215705,"King Soopers, Inc.",RC,,,2018-05-11,,2.0,10.0,"United Food and Commercial Workers International Union, Local 7",Directed,,,,Certification of Results,,,,,,,,,,Broomfield,CO,12.0,,,LOSS,2018-11-20,,,,,
27,27-RC-216199,"HSS, Inc.",RC,,,2018-03-26,,145.0,82.0,"Law Enforcement Officers Security Unions LEOSU, LEOS- PBA",Stipulated,,,,Certification of Results,,,,,,,,,,Denver,CO,334.0,,,LOSS,2018-10-26,,,,,
27,27-RC-226559,Swift Beef Company,RC,,,2018-10-11,,4.0,6.0,"International Union of Operating Engineers Local 1, AFL- CIO",Directed,,,,Certific. of Representative,,,,,,,,,,Greeley,CO,10.0,,WON,,2019-02-20,,,,,
27,27-RC-228701,Trane U.S. Inc.,RC,,,2018-11-02,,186.0,89.0,"United Food and Commercial Workers Local 7, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Pueblo,CO,303.0,,,LOSS,2018-11-16,,,,,
27,27-RC-229311,"Allied Waste Services of North America, LLC d/b/a Republic Services",RC,,,2018-11-07,,31.0,26.0,"General Teamsters Warehousemen and Helpers Local 483, affiliated with International Brotherhood of Teamsters, AFL- CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Nampa,ID,60.0,,,LOSS,2018-11-16,,,,,
27,27-RC-229719,"Albertson's, LLC",RC,,,2018-11-08,,14.0,17.0,"United Food and Commercial Workers Local 368-A, AFL- CIO-CLC",Stipulated,,,,Certification of Results,,,,,,,,,,Boise,ID,48.0,,,LOSS,2018-11-20,,,,,
27,27-RC-231097,"Asahi Refining USA, Inc.",RC,,,2018-12-12,,28.0,43.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union (USW), AFL-CIO-CLC",Stipulated,,,,Certific. of Representative,,,,,,,,,,West Valley,UT,78.0,,WON,,2018-12-21,,,,,
27,27-RC-231378,"R.T.J., Inc., d/b/a Colorado Mechanical Insulation, Inc.",RC,,,2018-12-13,,83.0,9.0,"International Association of Heat and Frost Insulators & Allied Workers, Local No. 28, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Englewood,CO,109.0,,,LOSS,2019-08-16,,,,,
27,27-RC-231863,United Food and Commercial Workers Local No. 368A,RC,,,2018-12-14,,1.0,2.0,"International Brotherhood of Teamsters Union Local Nos. 483 & 983, Chauffers, Warehousemen & Helpers",Stipulated,,,,Certific. of Representative,,,,,,,,,,Pocatello,ID,4.0,,WON,,2018-12-31,,,,,
27,27-RC-235247,"Food Services of America, Inc.",RC,,,2019-03-08,,9.0,23.0,General Teamsters Warehousemen and Helpers Local Union 483,Stipulated,,,,Certific. of Representative,,,,,,,,,,Meridian and Twin Falls,ID,34.0,,WON,,2019-03-21,,,,,
27,27-RC-237278,"Spectrum Healthcare Resources, Inc.",RC,,,2019-04-05,,2.0,6.0,"International Association of Machinists and Aerospace Workers, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Colorado Springs,CO,8.0,,WON,,2019-04-19,,,,,
27,27-RC-237284,"Magellan Healthcare, Inc.",RC,,,2019-04-04,,12.0,26.0,"International Association of Machinists and Aerospace Workers, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Colorado Springs,CO,45.0,,WON,,2019-04-19,,,,,
27,27-RC-237350,Prime Thermal Solutions,RC,,,2019-03-27,,1.0,1.0,"Heat and Frost Insulators & Allied Workers, Local 28, AFL- CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Littleton,CO,7.0,,,LOSS,2019-09-18,,,,,
27,27-RC-238761,"Tosca Services, LLC",RC,,,2019-04-18,,27.0,3.0,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union, Local 26, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Aurora,CO,31.0,,,LOSS,2019-04-30,,,,,
27,27-RC-238829,Salt Lake Film Society,RC,,,2019-04-26,,2.0,12.0,"International Alliance of Theatrical Stage Employees, AFL- CIO, CLC",Stipulated,,,,Certific. of Representative,,,,,,,,,,Salt Lake City,UT,17.0,,WON,,2019-05-08,,,,,
27,27-RC-239680,"Fior Di Latte, Inc., d/b/a Gelato Boy",RC,,,2019-05-03,,11.0,0.0,"United Food and Commercial Workers, Local 7, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Boulder,CO,19.0,,,LOSS,2019-07-31,,,,,
27,27-RC-240801,Lockheed Martin Rotary Mission Systems (RMS),RC,,,2019-05-17,,0.0,3.0,"International Association of Machinists and Aerospace Workers, Local Lodge 568, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Hill Afb,UT,3.0,,WON,,2019-05-31,,,,,
27,27-RC-241063,"BAE Systems Technology Solutions & Services, Inc.",RC,,,2019-07-02,,0.0,2.0,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 568",Stipulated,,,,Certific. of Representative,,,,,,,,,,Hill Afb,UT,2.0,,WON,,2019-07-12,,,,,
27,27-RC-242528,Lockheed Martin Rotary Mission Systems (RMS),RC,,,2019-06-21,,0.0,3.0,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 568",Stipulated,,,,Certific. of Representative,,,,,,,,,,Hill AFB,UT,5.0,,WON,,2019-07-05,,,,,
27,27-RC-242558,"BAE Systems Technology Solutions & Services, Inc.",RC,,,2019-06-25,,2.0,0.0,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 568",Stipulated,,,,Certification of Results,,,,,,,,,,Hill Afb,UT,2.0,,,LOSS,2019-07-05,,,,,
27,27-RC-244645,Sterling Crane LLC,RC,,,2019-07-26,,1.0,18.0,"International Union of Operating Engineers, Local 800, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Thornton,CO,47.0,,WON,,2019-08-28,,,,,
27,27-RC-244857,Aurora Littleton UniServ Unit,RC,,,2019-07-26,,0.0,3.0,"Allied Workers of Aurora Littleton, affiliated with Colorado Education Association Staff Organization (CEASO) and National Staff Organization (NSO)",Stipulated,,,,Certific. of Representative,,,,,,,,,,Aurora,CO,3.0,,WON,,2019-08-15,,,,,
27,27-RC-245495,"AmeriPride Services, Inc.",RC,,,2019-08-22,,0.0,6.0,Local 483 General Teamsters Warehousemen and Helpers,Stipulated,,,,Certific. of Representative,,,,,,,,,,Meridian,ID,8.0,,WON,,2019-09-04,,,,,
27,27-RC-246436,"Trees, LLC",RC,,,2019-09-05,,19.0,10.0,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 449, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Twin Falls,ID,31.0,,,LOSS,2019-09-27,,,,,
27,27-RD-229039,"Darling Ingredients, Inc.",RD,,,2019-01-24,,24.0,11.0,"United Food and Commercial Workers, Local 368A, AFL- CIO, CLC",Stipulated,,,,Certification of Results,,,,,,,,,,Kuna,ID,38.0,,,LOSS,2019-02-04,,,,,
"28, 28
ABQ, 28 LV",28-RC-225344,"MGM Grand Hotel, LLC",RC,,,2019-01-24,,25.0,30.0,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,57.0,,WON,,2019-04-26,,,,,
"28, 28
ABQ, 28 LV",28-RC-228151,"SMSJ Tucson Holdings, LLC, dba, St. Joseph's Hospital",RC,,,2018-10-09,,110.0,293.0,National Nurses Organizing Committee/National Nurses United (NNOC/NNU),Consent,,,,Certific. of Representative,,,,,,,,,,Tucson,AZ,541.0,,WON,,2018-10-17,,,,,
"28, 28
ABQ, 28 LV",28-RC-228177,"SMSJ Tucson Holdings, LLC, dba, St. Mary's Hospital",RC,,,2018-10-11,,85.0,221.0,National Nurses Organizing Committee/National Nurses United (NNOC/NNU),Consent,,,,Certific. of Representative,,,,,,,,,,Tucson,AZ,306.0,,WON,,2018-10-19,,,,,
"28, 28
ABQ, 28 LV",28-RC-228535,"RoySpa, LLC",RC,,,2018-10-25,,0.0,8.0,UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 540,Stipulated,,,,Certific. of Representative,,,,,,,,,,El Paso,TX,10.0,,WON,,2018-11-06,,,,,
"28, 28
ABQ, 28 LV",28-RC-229564,Lockheed Martin Corporation d/b/a Lockheed Martin Rotary and Mission Systems,RC,,,2018-11-07,,0.0,17.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 519",Stipulated,,,,Certific. of Representative,,,,,,,,,,Luke Air Force Base,AZ,17.0,,WON,,2018-11-26,,,,,
"28, 28
ABQ, 28 LV",28-RC-230613,NP Red Rock LLC,RC,,,2018-11-29,,4.0,9.0,"International Union of Operating Engineers Local 501, AFL- CIO",Directed,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,14.0,,WON,,2018-12-11,,,,,
"28, 28
ABQ, 28 LV",28-RC-231472,"Wynn Las Vegas, LLC",RC,,,2018-12-12,,12.0,62.0,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986, International Brotherhood of Teamsters",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,82.0,,WON,,2018-12-26,,,,,
"28, 28
ABQ, 28 LV",28-RC-231580,Barneys New York,RC,,,2018-12-17,,14.0,26.0,WESTERN STATES REGIONAL JOINT BOARD WORKERS UNITED-SEIU,Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,49.0,,WON,,2018-12-27,,,,,
"28, 28
ABQ, 28 LV",28-RC-231591,"Wynn Las Vegas, LLC",RC,,,2018-12-14,,30.0,53.0,"General Teamsters, Airline, Aerospace, and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986, an affiliate of the International Brotherhood of Teamsters",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,109.0,,WON,,2018-12-27,,,,,
"28, 28
ABQ, 28 LV",28-RC-231823,"Rio Properties, LLC",RC,,,2018-12-20,,2.0,8.0,"International Union of Painters & Allied Trades, District Council 16, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,10.0,,WON,,2018-12-31,,,,,
"28, 28
ABQ, 28 LV",28-RC-231975,De La Paz Cleaning & Rental Services LLC,RC,,,2018-12-19,,0.0,5.0,"International Union of Operating Engineers Local 351, AFL- CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,El Paso,TX,5.0,,WON,,2019-01-03,,,,,
"28, 28
ABQ, 28 LV",28-RC-232718,Lockheed Martin Corporation d/b/a Lockheed Martin Rotary and Mission Systems,RC,,,2019-01-04,,0.0,4.0,International Association of Machinists and Aerospace Workers & its Local Lodge 519,Stipulated,,,,Certific. of Representative,,,,,,,,,,Luke Air Force Base,AZ,4.0,,WON,,2019-01-30,,,,,
"28, 28
ABQ, 28 LV",28-RC-232902,High Grade Gypsum LLC,RC,,,2019-01-04,,21.0,62.0,"Teamsters, Chauffeurs, Warehousemen and Helpers, Local Union No. 631",Stipulated,,,,Certific. of Representative,,,,,,,,,,Sloan,NV,117.0,,WON,,2019-01-15,,,,,
"28, 28
ABQ, 28 LV",28-RC-232942,"Ryder Truck Rental, Inc.",RC,,,2019-01-09,,4.0,4.0,"General Teamsters (Excluding Mailers), State of Arizona, Local Union No. 104, an affiliate of International Brotherhood of Teamsters",Stipulated,,,,Certification of Results,,,,,,,,,,Yuma,AZ,8.0,,,LOSS,2019-01-28,,,,,
"28, 28ABQ, 28 LV",28-RC-232954,"Sysco Arizona, Inc.",RC,,,2019-01-08,,7.0,4.0,"General Teamsters (Excluding Mailers), State of Arizona,Local Union No. 104, an affiliate of International Brotherhood of Teamsters",Stipulated,,,,Certification ofResults,,,,,,,,,,Tolleson,AZ,11.0,,,LOSS,2019-02-13,,,,,
"28, 28
ABQ, 28 LV",28-RC-234105,"Las Vegas Arena Management, LLC",RC,,,2019-02-04,,0.0,7.0,International Union of Operating Engineers Local 501,Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,7.0,,WON,,2019-02-14,,,,,
"28, 28
ABQ, 28 LV",28-RC-234433,Lockheed Martin Corporation d/b/a Lockheed Martin Rotary and Mission Systems,RC,,,2019-02-08,,0.0,5.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 519",Stipulated,,,,Certific. of Representative,,,,,,,,,,Luke Air Force Base,AZ,5.0,,WON,,2019-04-04,,,,,
"28, 28
ABQ, 28 LV",28-RC-234874,"Parball Newco, LLC d/b/a Bally's Las Vegas",RC,,,2019-03-16,,58.0,200.0,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Directed,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,297.0,,WON,,2019-03-28,,,,,
"28, 28
ABQ, 28 LV",28-RC-234888,"Harrah's Las Vegas, LLC",RC,,,2019-03-16,,129.0,183.0,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Directed,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,369.0,,WON,,2019-03-28,,,,,
"28, 28
ABQ, 28 LV",28-RC-234910,"Paris Las Vegas Operating Company, LLC d/b/a Paris Las Vegas",RC,,,2019-03-16,,48.0,300.0,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Directed,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,410.0,,WON,,2019-03-28,,,,,
"28, 28
ABQ, 28 LV",28-RC-236134,"Superior Ambulance Service, Inc.",RC,,,2019-03-08,,2.0,18.0,AFSCME Council 18,Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NM,30.0,,WON,,2019-03-20,,,,,
"28, 28
ABQ, 28 LV",28-RC-236247,JanTec Inc.,RC,,,2019-02-28,,1.0,5.0,"International Brotherhood of Teamsters, Chauffeurs, Warehousemen, Local 631",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,6.0,,WON,,2019-03-15,,,,,
"28, 28
ABQ, 28 LV",28-RC-236343,"Wynn Las Vegas, LLC",RC,,,2019-03-16,,129.0,234.0,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,409.0,,WON,,2019-03-28,,,,,
"28, 28
ABQ, 28 LV",28-RC-236455,Hana Industries Inc.,RC,,,2019-03-14,,13.0,56.0,United Security & Police Officers of America (USPOA),Stipulated,,,,Certific. of Representative,,,,,,,,,,Albuquerque,NM,141.0,,WON,,2019-03-25,,,,,
"28, 28
ABQ, 28 LV",28-RC-236836,Desert Palace d/b/a Caesars Palace,RC,,,2019-03-23,,12.0,371.0,International Union United Automobile Aerospace Agricultural Implement Workers of America UAW,Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,540.0,,WON,,2019-04-04,,,,,
"28, 28
ABQ, 28 LV",28-RC-236837,"Alpha Omega Change Engineering, Inc.",RC,,,2019-03-22,,3.0,7.0,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 794",Stipulated,,,,Certific. of Representative,,,,,,,,,,Kirkland AFB,NM,12.0,,WON,,2019-04-04,,,,,
"28, 28
ABQ, 28 LV",28-RC-237981,Letter Ride LLC,RC,,,2019-04-10,,18.0,13.0,"International Brotherhood of Teamsters, Chauffeurs, Warehousemen, Local 631",Stipulated,,,,Certification of Results,,,,,,,,,,Las Vegas,NV,38.0,,,LOSS,2019-04-19,,,,,
"28, 28
ABQ, 28 LV",28-RC-240844,"Paragon Systems, Inc.",RC,,,2019-06-24,,24.0,35.0,"International Union, Security, Police and Fire Professionals of America, (SPFPA)",Stipulated,,,,Certific. of Representative,,,,,,,,,,El Paso,TX,131.0,,WON,,2019-07-03,,,,,
"28, 28
ABQ, 28 LV",28-RC-241387,"Sulphur Springs Valley Electric Cooperative, Inc.",RC,,,2019-06-04,,22.0,25.0,International Brotherhood of Electrical Workers Local 1116,Stipulated,,,,Certific. of Representative,,,,,,,,,,Willcox,AZ,40.0,,WON,,2019-06-27,,,,,
"28, 28
ABQ, 28 LV",28-RC-241766,"Firestop Commercial, LLC",RC,,,2019-06-05,,18.0,3.0,"International Association Heat & Frost Insulators and Allied Workers, Local 135",Stipulated,,,,Certification of Results,,,,,,,,,,Las Vegas,NV,21.0,,,LOSS,2019-06-13,,,,,
"28, 28
ABQ, 28 LV",28-RC-241776,BAE Systems Technology Solutions & Services Inc.,RC,,,2019-06-07,,0.0,2.0,"Intentional Association of Machinists and Aerospace Workers, Local Lodge 519",Stipulated,,,,Certific. of Representative,,,,,,,,,,Luke Air Force Base,AZ,2.0,,WON,,2019-06-17,,,,,
"28, 28
ABQ, 28 LV",28-RC-241876,"AMG Healthcare Services, Inc.",RC,,,2019-06-11,,0.0,11.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge SC711",Stipulated,,,,Certific. of Representative,,,,,,,,,,Nellis AFB,NV,11.0,,WON,,2019-06-19,,,,,
"28, 28
ABQ, 28 LV",28-RC-242270,NP Fiesta LLC d/b/a Fiesta Rancho Hotel & Casino,RC,,,2019-06-14,,22.0,128.0,Local Joint Executive Board of Las Vegas a/w UNITE HERE International Union,Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,195.0,,WON,,2019-06-28,,,,,
"28, 28
ABQ, 28 LV",28-RC-242864,"Valley Electric Association, Inc.",RC,,,2019-06-27,,7.0,10.0,"International, Brotherhood of Electrical Workers, Local 396",Stipulated,,,,Certific. of Representative,,,,,,,,,,Pahrump,NV,17.0,,WON,,2019-07-10,,,,,
"28, 28
ABQ, 28 LV",28-RC-242867,"Valley Electric Association, Inc.",RC,,,2019-06-27,,8.0,7.0,"International Brotherhood of Electrical Workers, Local 396",Stipulated,,,,Certification of Results,,,,,,,,,,Pahrump,NV,15.0,,,LOSS,2019-07-10,,,,,
"28, 28
ABQ, 28 LV",28-RC-243677,"Beacon Sales Acquisition, Inc. d/b/a AMS",RC,,,2019-07-19,,6.0,12.0,"Teamsters, Chauffeurs, Warehousemen and Helpers Local Union No. 631",Directed,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,18.0,,WON,,2019-07-30,,,,,
"28, 28
ABQ, 28 LV",28-RC-243786,Lockheed Martin Corporation d/b/a Lockheed Martin Rotary and Mission Systems,RC,,,2019-07-10,,0.0,4.0,"International Association of Machinists and Aerospace Workers, Local Lodge 519",Stipulated,,,,Certific. of Representative,,,,,,,,,,Nellis AFB,NV,5.0,,WON,,2019-07-18,,,,,
"28, 28
ABQ, 28 LV",28-RC-244376,"Delaware Resource Group of Oklahoma, LLC",RC,,,2019-07-19,,0.0,6.0,"International Association of Machinists and Aerospace Workers, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Holloman Air Force Base,NM,6.0,,WON,,2019-07-30,,,,,
"28, 28
ABQ, 28 LV",28-RC-245388,"FP Holdings, LP d/b/a Palms Place",RC,,,2019-08-17,,0.0,10.0,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,11.0,,WON,,2019-08-29,,,,,
"28, 28
ABQ, 28 LV",28-RC-245389,"M 1 Support Services, LP",RC,,,2019-08-09,,0.0,2.0,"International Association of Machinists and Aerospace Workers, Local Lodge SC711, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Nellis AFB,NV,3.0,,WON,,2019-08-21,,,,,
"28, 28
ABQ, 28 LV",28-RC-245394,"FP Holdings, L.P. d/b/a Palms Casino Resort",RC,,,2019-08-17,,9.0,24.0,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",Stipulated,,,,Certific. of Representative,,,,,,,,,,Las Vegas,NV,34.0,,WON,,2019-08-29,,,,,
"28, 28
ABQ, 28 LV",28-RC-246001,"Vector CSP, LLC",RC,,,2019-08-20,,1.0,15.0,"International Association of Machinists and Aerospace Workers, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Cannon AFB,NM,17.0,,WON,,2019-08-29,,,,,
"28, 28
ABQ, 28 LV",28-RC-246005,CAE USA Mission Solutions Inc.,RC,,,2019-08-26,,1.0,6.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 794",Stipulated,,,,Certific. of Representative,,,,,,,,,,Kirtland AFB,NM,7.0,,WON,,2019-09-11,,,,,
"28, 28
ABQ, 28 LV",28-RC-246226,Huckstep Holdings Corp. d/b/a TechWise,RC,,,2019-08-21,,0.0,6.0,"Professional Air Traffic Controllers Organization, Inc. (PATCO) a/w Office and Professional Employees International Union AFL-CIO, CLC (OPEIU)",Stipulated,,,,Certific. of Representative,,,,,,,,,,El Paso,TX,6.0,,WON,,2019-08-30,,,,,
"28, 28
ABQ, 28 LV",28-RC-246274,"United Site Services of Nevada, Inc.",RC,,,2019-08-29,,34.0,15.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION 631,Stipulated,,,,Certification of Results,,,,,,,,,,North Las Vegas,NV,51.0,,,LOSS,2019-09-11,,,,,
"28, 28
ABQ, 28 LV",28-RC-246668,"Sin City Plumbing and Maintenance, LLC",RC,,,2019-09-06,,10.0,7.0,"United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, Local 525, affiliated with the AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Henderson,NV,18.0,,,LOSS,2019-09-18,,,,,
"28, 28
ABQ, 28 LV",28-RC-246695,"Core-Mark International, Inc.",RC,,,2019-09-06,,0.0,5.0,International Brotherhood of Teamsters Local 14,Stipulated,,,,Certific. of Representative,,,,,,,,,,Henderson,NV,5.0,,WON,,2019-09-18,,,,,
"28, 28
ABQ, 28 LV",28-RC-246723,"Advanced IT Concepts, Inc.",RC,,,2019-09-04,,0.0,4.0,"International Association of Machinists and Aerospace Workers, Local Lodge 2515",Stipulated,,,,Certific. of Representative,,,,,,,,,,Fort Bliss,TX,4.0,,WON,,2019-09-18,,,,,
"28, 28
ABQ, 28 LV",28-RC-247225,Technica LLC,RC,,,2019-09-10,,0.0,4.0,"International Union of Operating Engineers Local 351, AFL- CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,El Paso,TX,4.0,,WON,,2019-09-18,,,,,
"28, 28
ABQ, 28 LV",28-RC-247301,"AECOM Management Services, Inc.",RC,,,2019-09-18,,5.0,20.0,"International Association of Machinists and Aerospace Workers, Local Lodge SC711",Stipulated,,,,Certific. of Representative,,,,,,,,,,Indian Springs,NV,26.0,,WON,,2019-09-27,,,,,
"28, 28
ABQ, 28 LV",28-RD-231778,Prudential Overall Supply,RD,,,2018-12-14,,3.0,2.0,"General Sales Drivers, Delivery Drivers, & Helpers, and Public Sector, Teamsters Local Union No. 14",Stipulated,,,,Certification of Results,,,,,,,,,,Las Vegas,NV,5.0,,,LOSS,2018-12-27,,,,,
"28, 28
ABQ, 28 LV",28-RD-241467,Exel Inc. d/b/a DHL Supply Chain (USA),RD,,,2019-06-25,,10.0,3.0,International Brotherhood of Teamsters Local Union 745,Directed,,,,Certification of Results,,,,,,,,,,Socorro,TX,15.0,,,LOSS,2019-07-09,,,,,
29,29-RC-190281,"Juice Press, LLC",RC,,,2019-04-30,,41.0,39.0,"Local 1181-1061, Amalgamated Transit Union, AFL-CIO",Stipulated,,,,Certification of Results,,,,,,,,,,Long Island City,NY,104.0,,,LOSS,2019-05-13,,,,,
29,29-RC-216327,Troutbrook Company LLC d/b/a Brooklyn 181 Hospitality LLC,RC,,,2018-09-06,,8.0,18.0,"New York Hotel & Motel Trades Council, AFL-CIO",Stipulated,,,,Certific. of Representative,,,,,,,,,,Brooklyn,NY,29.0,,WON,,2018-12-13,,,,,
