,Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
5866,"01, 34",01-RC-227146,"Allied Waste Services of Massachusetts, LLC d/b/a Allied Waste Services of Marshfield and Republic S",RC,,,2018-10-04,,11.0,14.0,"general teamsters, chauffeurs, warehousemen and helpers of brockton & vicinity, local union 653",Stipulated,,,,Certific. of Representative,,,,,,,,,,Marshfield,MA,25.0,,WON,,2018-10-12,,,,,
5867,"01, 34",01-RC-227492,"TALMADGE PARK OPERATING COMPANY, LLP d/b/a TALMADGE PARK",RC,,,2018-10-11,,39.0,19.0,"district 1199, new england health care employees union, seiu",Stipulated,,,,Certification of Results,,,,,,,,,,East Haven,CT,61.0,,,LOSS,2018-10-19,,,,,
5868,"01, 34",01-RC-227574,Snow Pond Arts Academy,RC,,,2018-10-12,,8.0,4.0,snow pond education association/maine education association,Directed,,,,Certification of Results,,,,,,,,,,Sidney,ME,14.0,,,LOSS,2018-10-22,,,,,
5869,"01, 34",01-RC-227585,LAX LLC d/b/a Land Air Express,RC,,,2018-10-11,,7.0,7.0,teamsters union local no. 340,Stipulated,,,,Certification of Results,,,,,,,,,,Pittsfield,ME,14.0,,,LOSS,2019-01-23,,,,,
5870,"01, 34",01-RC-228228,Allegiance Realty Corporation,RC,,,2018-10-25,,0.0,2.0,"international union of operating engineers local 30, afl- cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Danbury,CT,3.0,,WON,,2018-11-02,,,,,
5871,"01, 34",01-RC-228331,Lecrenski Bros. Inc.,RC,,,2018-12-06,,12.0,11.0,amalgamated transit union local 448,Stipulated,,,,Certification of Results,,,,,,,,,,Westfield,MA,24.0,,,LOSS,2018-12-14,,,,,
5872,"01, 34",01-RC-228876,Berkshire Gas Company,RC,,,2018-11-02,,0.0,4.0,connecticut independent utility workers,Stipulated,,,,Certific. of Representative,,,,,,,,,,Pittsfield,MA,4.0,,WON,,2018-11-13,,,,,
5873,"01, 34",01-RC-229103,"PROSPECT ECHN, INC.",RC,,,2018-11-14,,37.0,73.0,aft connecticut,Directed,,,,Certific. of Representative,,,,,,,,,,Vernon,CT,154.0,,WON,,2018-11-29,,,,,
5874,"01, 34",01-RC-229866,Eversource Energy,RC,,,2018-11-15,,2.0,3.0,international brotherhood of electrical workers local union #1837,Directed,,,,Certific. of Representative,,,,,,,,,,Manchester,NH,5.0,,WON,,2018-11-23,,,,,
5875,"01, 34",01-RC-230146,4 Hazel Avenue Operations LLC d/b/a Glendale Center,RC,,,2018-11-16,,10.0,44.0,"new england health care employees union, district 1199, seiu",Stipulated,,,,Certific. of Representative,,,,,,,,,,Naugatuck,CT,59.0,,WON,,2018-11-29,,,,,
5876,"01, 34",01-RC-230330,"Blue Tarp reDevelopment, LLC d/b/a MGM Springfield",RC,,,2018-11-27,,115.0,56.0,"mgm springfield casino law enforcement officers security union a division of the law enforcement officers security unions leosu, leos-pba",Stipulated,,,,Certification of Results,,,,,,,,,,Springfield,MA,195.0,,,LOSS,2019-03-20,,,,,
5877,"01, 34",01-RC-230363,St Luke's Hospital,RC,,,2018-11-29,,283.0,350.0,massachusetts nurses association,Stipulated,,,,Certific. of Representative,,,,,,,,,,New Bedford,MA,731.0,,WON,,2019-08-19,,,,,
5878,"01, 34",01-RC-230426,"Dawn-Ra Corporation, d/b/a Orange Rehabilitation and Health Care Center",RC,,,2018-11-29,,0.0,6.0,"new england healthcare employees union, district 1199, seiu",Stipulated,,,,Certific. of Representative,,,,,,,,,,Orange,CT,6.0,,WON,,2018-12-07,,,,,
5879,"01, 34",01-RC-230891,"H.S. Gere & Sons, Inc.",RC,,,2018-12-12,,29.0,40.0,the newsguild-cwa,Stipulated,,,,Certific. of Representative,,,,,,,,,,Northampton,MA,80.0,,WON,,2018-12-20,,,,,
5880,"01, 34",01-RC-231049,Falmouth Hospital,RC,,,2018-12-11,,0.0,14.0,united government security officers of america and its local 300,Stipulated,,,,Certific. of Representative,,,,,,,,,,Falmouth,MA,15.0,,WON,,2018-12-21,,,,,
5881,"01, 34",01-RC-231247,Steward St. Anne's Hospital Corporation d/b/a Saint Anne's Hospital,RC,,,2018-12-11,,4.0,9.0,1199 seiu united healthcare workers east,Stipulated,,,,Certific. of Representative,,,,,,,,,,Fall River,MA,16.0,,WON,,2018-12-21,,,,,
5882,"01, 34",01-RC-231256,Steward St. Anne's Hospital Corporation d/b/a Saint Anne's Hospital,RC,,,2018-12-11,,31.0,105.0,1199 seiu united healthcare workers east,Stipulated,,,,Certific. of Representative,,,,,,,,,,Fall River,MA,180.0,,WON,,2018-12-21,,,,,
5883,"01, 34",01-RC-231306,Steward St. Anne's Hospital Corporation d/b/a Saint Anne's Hospital,RC,,,2018-12-11,,14.0,24.0,1199 seiu united healthcare workers east a/w service employees international union,Stipulated,,,,Certific. of Representative,,,,,,,,,,Fall River,MA,54.0,,WON,,2018-12-21,,,,,
5884,"01, 34",01-RC-231316,Steward St. Anne's Hospital Corporation d/b/a Saint Anne's Hospital,RC,,,2018-12-11,,138.0,205.0,1199 seiu united healthcare workers east,Stipulated,,,,Certific. of Representative,,,,,,,,,,Fall River,MA,544.0,,WON,,2018-12-21,,,,,
5885,"01, 34",01-RC-231319,Martha's Vineyard Hospital,RC,,,2018-12-13,,9.0,26.0,1199 seiu united healthcare workers east a/w service employees international union,Directed,,,,Certific. of Representative,,,,,,,,,,Oak Bluffs,MA,36.0,,WON,,2018-12-21,,,,,
5886,"01, 34",01-RC-231322,Davidson Hotel Company LLC d/b/a Sheraton Stamford Hotel,RC,,,2018-12-13,,32.0,69.0,"unite here international union, local no. 217, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Stamford,CT,127.0,,WON,,2018-12-21,,,,,
5887,"01, 34",01-RC-231420,M & J Bus Inc.,RC,,,2018-12-19,,10.0,3.0,afscme council 4,Consent,,,,Certification of Results,,,,,,,,,,North Stonington,CT,16.0,,,LOSS,2018-12-27,,,,,
5888,"01, 34",01-RC-231775,Eversource Energy Service Company,RC,,,2018-12-21,,2.0,4.0,"international brotherhood of electrical workers, local 457, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Berlin,CT,8.0,,WON,,2018-12-31,,,,,
5889,"01, 34",01-RC-232766,"72 Salmon Brook Drive Operations, LLC d/b/a Salmon Brook Center",RC,,,2019-01-11,,2.0,14.0,"new england health care employees union, district 1199, seiu",Stipulated,,,,Certific. of Representative,,,,,,,,,,Glastonbury,CT,17.0,,WON,,2019-01-22,,,,,
5890,"01, 34",01-RC-232849,Durham D&M LLC,RC,,,2019-01-09,,29.0,41.0,amalgamated transit union local 1336,Stipulated,,,,Certific. of Representative,,,,,,,,,,Stratford,CT,78.0,,WON,,2019-01-17,,,,,
5891,"01, 34",01-RC-233549,"First Student, Inc.",RC,,,2019-01-25,,8.0,43.0,"international brotherhood of teamsters, chauffeurs, warehousemen and helpers of america, local 633",Stipulated,,,,Certific. of Representative,,,,,,,,,,North Hampton,NH,55.0,,WON,,2019-02-05,,,,,
5892,"01, 34",01-RC-234174,"Dynegy Power, LLC",RC,,,2019-02-14,,5.0,8.0,international brotherhood of electrical workers local 420,Stipulated,,,,Certific. of Representative,,,,,,,,,,Milford,CT,13.0,,WON,,2019-02-22,,,,,
5893,"01, 34",01-RC-234583,"Miller Protection Services, Inc.",RC,,,2019-02-14,,4.0,43.0,"the protection & response officers of america, inc.",Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,75.0,,WON,,2019-03-18,,,,,
5894,"01, 34",01-RC-234667,"HOP Energy, LLC, d/b/a Valley Oil and DDLC Energy",RC,,,2019-02-20,,13.0,17.0,"international brotherhood of teamsters, local 671",Stipulated,,,,Certific. of Representative,,,,,,,,,,East Hartford,CT,30.0,,WON,,2019-03-01,,,,,
5895,"01, 34",01-RC-234713,United Ambulance Service,RC,,,2019-02-27,,37.0,24.0,international association of emts and paramedics (iaep),Stipulated,,,,Certification of Results,,,,,,,,,,Lewiston,ME,80.0,,,LOSS,2019-03-08,,,,,
5896,"01, 34",01-RC-234774,CONNECTICUT LIGHT & POWER d/b/a EVERSOURCE ENERGY,RC,,,2019-02-11,,0.0,2.0,"international brotherhood of electrical workers, local 457",Stipulated,,,,Certific. of Representative,,,,,,,,,,Berlin,CT,2.0,,WON,,2019-02-20,,,,,
5897,"01, 34",01-RC-234790,Bentley University,RC,,,2019-03-07,,4.0,5.0,bentley university public safety association,Directed,,,,Certific. of Representative,,,,,,,,,,Waltham,MA,9.0,,WON,,2019-03-15,,,,,
5898,"01, 34",01-RC-234991,"Fairview of Southport, LLC",RC,,,2019-02-21,,1.0,28.0,"new england health care employees union, district 1199, seiu",Stipulated,,,,Certific. of Representative,,,,,,,,,,Southport,CT,31.0,,WON,,2019-03-01,,,,,
5899,"01, 34",01-RC-235019,Trustees of Boston University D/B/A WBUR,RC,,,2019-02-27,,3.0,73.0,screen actors guild - american federation of television and radio artists (sag-aftra),Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,117.0,,WON,,2019-03-07,,,,,
5900,"01, 34",01-RC-235280,"Allied Waste Services of Massachusetts, LLC d/b/a Allied Waste Services of Springfield // Republic S",RC,,,2019-03-01,,29.0,18.0,"general teamsters, chauffeurs, warehousemen and helpers, building materials, heavy and highway construction employees affiliated with the international brotherhood of teamsters local no. 404",Stipulated,,,,Certification of Results,,,,,,,,,,Chicopee,MA,47.0,,,LOSS,2019-03-11,,,,,
5901,"01, 34",01-RC-235355,Freedom Trail Foundation Inc.,RC,,,2019-02-26,,4.0,14.0,unite here local 26,Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,21.0,,WON,,2019-03-06,,,,,
5902,"01, 34",01-RC-235508,"Dana-Farber Cancer Institute, Inc.",RC,,,2019-03-04,,6.0,4.0,"international union of operating engineers, local 877",Stipulated,,,,Certification of Results,,,,,,,,,,Boston,MA,12.0,,,LOSS,2019-03-12,,,,,
5903,"01, 34",01-RC-235513,Heorot Power Management LLC,RC,,,2019-03-06,,2.0,4.0,"international union of operating engineers, local 877",Stipulated,,,,Certific. of Representative,,,,,,,,,,Lowell,MA,6.0,,WON,,2019-03-14,,,,,
5904,"01, 34",01-RC-235689,"Dattco, Inc.",RC,,,2019-03-07,,83.0,24.0,amalgamated transit union,Stipulated,,,,Certification of Results,,,,,,,,,,New Britain,CT,110.0,,,LOSS,2019-03-15,,,,,
5905,"01, 34",01-RC-236358,Berkshire Gas Company,RC,,,2019-03-22,,0.0,6.0,connecticut independent utility workers,Stipulated,,,,Certific. ofRepresentative,,,,,,,,,,Pittisfield,MA,8.0,,WON,,2019-04-01,,,,,
5906,"01, 34",01-RC-236359,Regis College,RC,,,2019-03-27,,0.0,14.0,regis college public safety association,Directed,,,,Certific. of Representative,,,,,,,,,,Weston,MA,14.0,,WON,,2019-04-04,,,,,
5907,"01, 34",01-RC-236518,Kennebec Valley Community Action Program,RC,,,2019-03-18,,3.0,10.0,"international association of machinists and aerospace workers, district lodge 4, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Augusta,ME,17.0,,WON,,2019-03-27,,,,,
5908,"01, 34",01-RC-236818,"Rhode Island LFG Genco, LLC",RC,,,2019-03-22,,8.0,3.0,international brotherhood of teamsters local 251,Stipulated,,,,Certification of Results,,,,,,,,,,Johnston,RI,12.0,,,LOSS,2019-04-01,,,,,
5909,"01, 34",01-RC-237370,"Compass Group USA, Inc., d/b/a Chartwells School Dining Services",RC,,,2019-03-22,,10.0,4.0,"united food and commercial workers union, local 919",Stipulated,,,,Certification of Results,,,,,,,,,,New Haven,CT,17.0,,,LOSS,2019-04-02,,,,,
5910,"01, 34",01-RC-237381,First Student (Bay Path),RC,,,2019-04-05,,5.0,12.0,teamsters union local 170,Stipulated,,,,Certific. of Representative,,,,,,,,,,Charlton,MA,17.0,,WON,,2019-04-15,,,,,
5911,"01, 34",01-RC-237853,First Student,RC,,,2019-04-03,,0.0,3.0,international brotherhood of teamsters local 633,Stipulated,,,,Certific. of Representative,,,,,,,,,,North Hampton,NH,4.0,,WON,,2019-04-11,,,,,
5912,"01, 34",01-RC-238994,"UMass Memorial Medical Group, Inc.",RC,,,2019-04-30,,0.0,4.0,"state healthcare and research employees, afscme local 3900",Stipulated,,,,Certific. of Representative,,,,,,,,,,Worcester,MA,6.0,,WON,,2019-05-08,,,,,
5913,"01, 34",01-RC-239558,NAES Corporation,RC,,,2019-05-08,,24.0,16.0,international union of operating engineers local 30 and international union of operating engineers local 478,Stipulated,,,,Certification of Results,,,,,,,,,,Hartford,CT,40.0,,,LOSS,2019-05-17,,,,,
5914,"01, 34",01-RC-239801,"Ocean State Transit, LLC",RC,,,2019-05-08,,45.0,55.0,international brotherhood of teamsters local 251,Stipulated,,,,Certific. of Representative,,,,,,,,,,East Providence,RI,105.0,,WON,,2019-05-17,,,,,
5915,"01, 34",01-RC-240379,Preble Street,RC,,,2019-05-24,,11.0,90.0,"maine state employees association a/w service employees international union, local 1989, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Portland,ME,143.0,,WON,,2019-06-24,,,,,
5916,"01, 34",01-RC-240403,"AvalonBay Communities, Inc.",RC,,,2019-05-23,,19.0,5.0,international union of operating engineers local 30,Stipulated,,,,Certification of Results,,,,,,,,,,Fairfield,CT,29.0,,,LOSS,2019-06-04,,,,,
5917,"01, 34",01-RC-240853,"Specialty Transportation, Inc.",RC,,,2019-05-29,,27.0,16.0,amalgamated transit union,Stipulated,,,,Certification of Results,,,,,,,,,,Guilford,CT,43.0,,,LOSS,2019-06-07,,,,,
5918,"01, 34",01-RC-240946,"Cambridge Eating Disorder Center, PC",RC,,,2019-05-29,,0.0,19.0,"american federation of state, county & municipal employees, council 93",Stipulated,,,,Certific. of Representative,,,,,,,,,,Cambridge,MA,34.0,,WON,,2019-08-12,,,,,
5919,"01, 34",01-RC-241098,"Jones Lang LaSalle Americas, Inc.",RC,,,2019-05-21,,0.0,9.0,international union of operating engineers local 877,Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,9.0,,WON,,2019-05-29,,,,,
5920,"01, 34",01-RC-241183,VHS Acquisition Subsidiary 7 Inc. d/b/a Saint Vincent Hospital,RC,,,2019-06-11,,0.0,6.0,"international union, security, police and fire professionals of america (spfpa)",Stipulated,,,,Certific. of Representative,,,,,,,,,,Worcester,MA,11.0,,WON,,2019-06-19,,,,,
5921,"01, 34",01-RC-241216,C & W Facility Services Inc. (The Hub on Causeway),RC,,,2019-05-30,,0.0,2.0,"international union of operating engineers, local 877",Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,2.0,,WON,,2019-06-07,,,,,
5922,"01, 34",01-RC-241407,"YMCA of Greater Springfield, Inc.",RC,,,2019-06-07,,8.0,5.0,"ufcw local 1459, transit division",Stipulated,,,,Certification of Results,,,,,,,,,,Springfield,MA,21.0,,,LOSS,2019-06-17,,,,,
5923,"01, 34",01-RC-241979,Calais Regional Hospital,RC,,,2019-06-14,,0.0,10.0,maine state nurses association/national nurses organizing committee/national nurses union,Stipulated,,,,Certific. of Representative,,,,,,,,,,Calais,ME,13.0,,WON,,2019-06-24,,,,,
5924,"01, 34",01-RC-242166,The Aero All-Gas Company,RC,,,2019-06-17,,4.0,9.0,"international brotherhood of teamsters, chauffeurs, warehousemen and helpers of america, local 671",Stipulated,,,,Certific. of Representative,,,,,,,,,,Hartford,CT,13.0,,WON,,2019-06-25,,,,,
5925,"01, 34",01-RC-242194,Riverhead Building Supply Corp.,RC,,,2019-06-21,,3.0,5.0,international brotherhood of teamsters local 251,Stipulated,,,,Certific. of Representative,,,,,,,,,,Richmond,RI,8.0,,WON,,2019-07-01,,,,,
5926,"01, 34",01-RC-242350,"Waterbury Extended Care, LLC d/b/a Apple Rehab-Watertown",RC,,,2019-06-28,,10.0,13.0,united food and commercial workers international union local 371,Stipulated,,,,Certific. of Representative,,,,,,,,,,Waterbury,CT,30.0,,WON,,2019-09-20,,,,,
5927,"01, 34",01-RC-242639,National Express Transit,RC,,,2019-06-27,,26.0,71.0,"united food and commercial workers union, local 1459, transit division",Stipulated,,,,Certific. of Representative,,,,,,,,,,Springfield,MA,139.0,,WON,,2019-07-11,,,,,
5928,"01, 34",01-RC-242854,HOP ENERGY LLC,RC,,,2019-06-27,,4.0,13.0,international brotherhood of teamsters local 191,Stipulated,,,,Certific. of Representative,,,,,,,,,,Bridgeport,CT,19.0,,WON,,2019-07-08,,,,,
5929,"01, 34",01-RC-243206,"Sprague Resources GP, LLC",RC,,,2019-07-10,,1.0,5.0,international union of operating engineers local 478,Stipulated,,,,Certific. of Representative,,,,,,,,,,Stratford,CT,6.0,,WON,,2019-07-18,,,,,
5930,"01, 34",01-RC-243252,NATIONAL EXPRESS TRANSIT CORPORATION,RC,,,2019-07-24,,1.0,5.0,international brotherhood of teamsters local 25,Directed,,,,Certific. of Representative,,,,,,,,,,Hyde Park,MA,8.0,,WON,,2019-08-01,,,,,
5931,"01, 34",01-RC-243314,"Midwest Air Traffic Control Service, Inc.",RC,,,2019-07-10,,0.0,4.0,"professional air traffic controllers organization, inc.",Stipulated,,,,Certific. of Representative,,,,,,,,,,East Haven,CT,4.0,,WON,,2019-07-18,,,,,
5932,"01, 34",01-RC-243548,"Prospect Rockville Hospital, Inc.",RC,,,2019-07-12,,24.0,38.0,aft connecticut,Stipulated,,,,Certific. of Representative,,,,,,,,,,Vernon,CT,97.0,,WON,,2019-07-25,,,,,
5933,"01, 34",01-RC-243688,"First Student, Inc.",RC,,,2019-07-19,,14.0,19.0,teamsters union local 170,Stipulated,,,,Certific. of Representative,,,,,,,,,,Westborough,MA,35.0,,WON,,2019-07-29,,,,,
5934,"01, 34",01-RC-243806,"First Student, Inc. (Gardner, MA)",RC,,,2019-08-15,,1.0,29.0,international brotherhood of teamsters union local 170,Stipulated,,,,Certific. of Representative,,,,,,,,,,Gardner,MA,36.0,,WON,,2019-08-23,,,,,
5935,"01, 34",01-RC-244079,"Bear Mountain Mattapan, LLC d/b/a Mattapan Health and Rehabilitation Center",RC,,,2019-07-26,,0.0,68.0,"united food and commercial workers international union, local 1445, afl-cio, clc",Stipulated,,,,Certific. of Representative,,,,,,,,,,Mattapan,MA,74.0,,WON,,2019-08-05,,,,,
5936,"01, 34",01-RC-245253,"Goodspeed Opera House Foundation, Inc.",RC,,,2019-08-27,,1.0,9.0,"connecticut valley federation of musicians, local 400",Directed,,,,Certific. of Representative,,,,,,,,,,Chester,CT,14.0,,WON,,2019-09-25,,,,,
5937,"01, 34",01-RC-245821,Wheaton College,RC,,,2019-08-23,,0.0,11.0,national association of campus law enforcement,Stipulated,,,,Certific. of Representative,,,,,,,,,,Norton,MA,13.0,,WON,,2019-09-04,,,,,
5938,"01, 34",01-RC-245990,Dynegy Power LLC (Lake Road Plant),RC,,,2019-08-29,,6.0,10.0,international union of operating engineers local 30,Stipulated,,,,Certific. of Representative,,,,,,,,,,Dayville,CT,18.0,,WON,,2019-09-06,,,,,
5939,"01, 34",01-RC-246211,Health and Social Services Consortium Inc. d/b/a HESSCO,RC,,,2019-08-30,,3.0,22.0,service employees international union local 509,Stipulated,,,,Certific. of Representative,,,,,,,,,,Sharon,MA,27.0,,WON,,2019-09-30,,,,,
5940,"01, 34",01-RC-246283,"All-Star Transportation, LLC",RC,,,2019-09-12,,29.0,36.0,international brotherhood of teamsters local 677,Stipulated,,,,Certific. of Representative,,,,,,,,,,Waterbury,CT,69.0,,WON,,2019-09-20,,,,,
5941,"01, 34",01-RC-246363,"Visiting Nurse Association of Boston, Inc.",RC,,,2019-09-05,,4.0,29.0,massachusetts nurses association,Stipulated,,,,Certific. of Representative,,,,,,,,,,Weymouth,MA,39.0,,WON,,2019-09-13,,,,,
5942,"01, 34",01-RC-246412,"Bob's Discount Furniture, LLC",RC,,,2019-09-06,,193.0,66.0,"new england joint board, unite here",Stipulated,,,,Certification of Results,,,,,,,,,,Taftville,CT,288.0,,,LOSS,2019-09-18,,,,,
5943,"01, 34",01-RC-246570,"Midwest Air Traffic Control Services, Inc.",RC,,,2019-09-03,,0.0,3.0,"national air traffic controllers association, afl-cio (natca)",Stipulated,,,,Certific. of Representative,,,,,,,,,,Beverly,MA,4.0,,WON,,2019-09-11,,,,,
5944,"01, 34",01-RC-246616,"Prolerized New England Company, LLC",RC,,,2019-09-10,,0.0,3.0,international longshoremen's association,Stipulated,,,,Certific. of Representative,,,,,,,,,,Boston,MA,3.0,,WON,,2019-09-18,,,,,
5945,"01, 34",01-RC-246694,Health and Social Services Consortium Inc. d/b/a HESSCO,RC,,,2019-08-30,,2.0,3.0,service employees international union local 509,Stipulated,,,,Certific. of Representative,,,,,,,,,,Sharon,MA,5.0,,WON,,2019-09-30,,,,,
5946,"01, 34",01-RC-246785,Rogers Corporation,RC,,,2019-09-12,,27.0,100.0,international brotherhood of teamsters local 251,Stipulated,,,,Certific. of Representative,,,,,,,,,,Narragansett,RI,141.0,,WON,,2019-09-20,,,,,
5947,"01, 34",01-RC-247287,Durham D&M LLC,RC,,,2019-09-19,,57.0,62.0,united food and commercial workers union local 328,Stipulated,,,,Certific. of Representative,,,,,,,,,,Cumberland,RI,129.0,,WON,,2019-09-27,,,,,
5950,2,02-RC-225405,Trustees of Columbia University in the City of New York,RC,,,2018-10-03,,339.0,729.0,"columbia postdoctoral workers and united automobile, aerospace and agricultural implement workers of america (cpw-uaw)",Directed,,,,Certific. of Representative,,,,,,,,,,New York,NY,2067.0,,WON,,2018-10-12,,,,,
5951,2,02-RC-227006,The New School,RC,,,2018-09-24,,0.0,14.0,international union united automobile aerospace & agricultural implement workers of america uaw local 7902 (uaw local 7902),Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,19.0,,WON,,2018-10-02,,,,,
5952,2,02-RC-228305,Special Citizens Futures Unlimited,RC,,,2018-10-24,,45.0,33.0,ufcw local 888,Stipulated,,,,Certification of Results,,,,,,,,,,Bronx,NY,121.0,,,LOSS,2018-11-27,,,,,
5953,2,02-RC-228410,Hubert Street Condominium,RC,,,2018-10-18,,0.0,7.0,seiu local 32bj,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,7.0,,WON,,2018-10-26,,,,,
5954,2,02-RC-228951,Halcyon Condominium,RC,,,2018-11-01,,1.0,13.0,32bj seiu,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,14.0,,WON,,2018-11-09,,,,,
5955,2,02-RC-229616,New York Presbyterian-Hudson Valley Hospital,RC,,,2018-12-13,,118.0,130.0,new york state nurses association,Stipulated,,,,Certific. of Representative,,,,,,,,,,Cortlandt Manor,NY,268.0,,WON,,2018-12-21,,,,,
5956,2,02-RC-229778,Isabella Geriatric Center,RC,,,2018-11-16,,0.0,7.0,1199seiu united health workers east,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,8.0,,WON,,2018-11-26,,,,,
5957,2,02-RC-230328,"Bronx Global Learning Institute for Girls Charter School, The Shirley Rodriguez-Remenski School",RC,,,2018-11-26,,0.0,47.0,united federation of teachers local 2,Stipulated,,,,Certific. of Representative,,,,,,,,,,Bronx,NY,55.0,,WON,,2018-12-04,,,,,
5958,2,02-RC-230371,DGC Operations LLC,RC,,,2018-11-30,,2.0,8.0,local 30 iuoe operating engineers,Directed,,,,Certific. of Representative,,,,,,,,,,Middletown,NY,11.0,,WON,,2018-12-10,,,,,
5959,2,02-RC-230433,"ALLSTATE POWER VAC, INC. D/B/A ACV EVIRO",RC,,,2018-11-27,,0.0,7.0,international union of operating engineers local 825,Stipulated,,,,Certific. of Representative,,,,,,,,,,New Windsor,NY,7.0,,WON,,2018-12-06,,,,,
5960,2,02-RC-230526,Breaking Ground Housing Development Fund Corporation,RC,,,2018-11-28,,0.0,8.0,teamsters local 210 ibt,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,8.0,,WON,,2018-12-07,,,,,
5961,2,02-RC-231626,"RECONN Utility Services, LLC",RC,,,2018-12-19,,47.0,36.0,utility workers union of america,Stipulated,,,,Certification of Results,,,,,,,,,,Hauppauge,NY,92.0,,,LOSS,2018-12-27,,,,,
5962,2,02-RC-233448,"Winn Management Group, LLC",RC,,,2019-01-23,,0.0,3.0,international union of operating engineers local 30,Stipulated,,,,Certific. of Representative,,,,,,,,,,New Windsor,NY,3.0,,WON,,2019-01-31,,,,,
5963,2,02-RC-233642,THE NEW MUSEUM OF CONTEMPORARY ART,RC,,,2019-01-24,,8.0,38.0,technical office and professional union local 2110 united automobile workers,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,53.0,,WON,,2019-02-01,,,,,
5964,2,02-RC-234932,"East Haven Builders Supply - US LBM, LLC d/b/a Millwood Lumber",RC,,,2019-02-20,,4.0,5.0,"international brotherhood of teamsters, local 456",Stipulated,,,,Certific. of Representative,,,,,,,,,,Millwood,NY,9.0,,WON,,2019-05-17,,,,,
5965,2,02-RC-235329,"Altice Technical Services, an operating division of CSCHoldings, LLC",RC,,,2019-03-05,,45.0,77.0,"communications workers of america, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,Hawthorne,NY,131.0,,WON,,2019-03-13,,,,,
5966,2,02-RC-235944,The Mount Sinai Hospital,RC,,,2019-03-05,,0.0,13.0,seiu local 32bj,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,13.0,,WON,,2019-03-13,,,,,
5967,2,02-RC-238065,Mercy College,RC,,,2019-04-17,,100.0,406.0,seiu local 200 united,Directed,,,,Certific. of Representative,,,,,,,,,,Dobbs Ferry,NY,853.0,,WON,,2019-05-22,,,,,
5968,2,02-RC-238582,Lower East Side Tenement Museum,RC,,,2019-04-14,,3.0,73.0,"local 2110, technical, office and professional union, uaw, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,82.0,,WON,,2019-05-01,,,,,
5969,2,02-RC-238671,"Bright Power Installation and Construction, LLC",RC,,,2019-04-25,,4.0,13.0,"international brotherhood of electrical workers, afl-cio (ibew), local 3",Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,24.0,,WON,,2019-05-03,,,,,
5970,2,02-RC-239677,Fortune Media (USA) Corporation,RC,,,2019-05-09,,3.0,20.0,"newsguild of new york, local 31003, cwa",Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,28.0,,WON,,2019-05-29,,,,,
5971,2,02-RC-240291,Lenox Parking Garage LLC,RC,,,2019-05-20,,3.0,0.0,"garage employees union local 272, international brotherhood of teamsters",Stipulated,,,,Certification of Results,,,,,,,,,,New York,NY,4.0,,,LOSS,2019-05-29,,,,,
5972,2,02-RC-241656,Club Quarters Hotel Wall Street,RC,,,2019-06-04,,8.0,32.0,"new york hotel and motel trades council, afl-cio",Stipulated,,,,Certific. of Representative,,,,,,,,,,new york,NY,49.0,,WON,,2019-06-12,,,,,
5973,2,02-RC-242723,The Solomon R. Guggenheim Foundation,RC,,,2019-06-27,,20.0,57.0,local 30 iuoe operating engineers,Stipulated,,,,Certific. of Representative,,,,,,,,,,New York,NY,141.0,,WON,,2019-07-05,,,,,
